State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254.0,2000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Arecanut,3100.0,5200.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400.0,2600.0
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Arhar/Tur,6100.0,900.0
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Arhar/Tur,1600.0,300.0
Andhra Pradesh,GUNTUR,1997,Kharif     ,Arhar/Tur,28400.0,14900.0
Andhra Pradesh,KADAPA,1997,Kharif     ,Arhar/Tur,5700.0,1400.0
Andhra Pradesh,KRISHNA,1997,Kharif     ,Arhar/Tur,10700.0,3400.0
Andhra Pradesh,KURNOOL,1997,Kharif     ,Arhar/Tur,20900.0,6400.0
Andhra Pradesh,PRAKASAM,1997,Kharif     ,Arhar/Tur,34700.0,2200.0
Andhra Pradesh,SPSR NELLORE,1997,Kharif     ,Arhar/Tur,200.0,100.0
Andhra Pradesh,SRIKAKULAM,1997,Kharif     ,Arhar/Tur,1600.0,400.0
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif     ,Arhar/Tur,4800.0,800.0
Andhra Pradesh,VIZIANAGARAM,1997,Kharif     ,Arhar/Tur,1600.0,400.0
Andhra Pradesh,WEST GODAVARI,1997,Kharif     ,Arhar/Tur,500.0,100.0
Arunachal Pradesh,ANJAW,2004,Kharif     ,Maize,2453.0,2674.0
Arunachal Pradesh,CHANGLANG,1997,Kharif     ,Maize,1520.0,2725.0
Arunachal Pradesh,DIBANG VALLEY,1997,Kharif     ,Maize,5212.0,7557.0
Arunachal Pradesh,EAST KAMENG,1997,Kharif     ,Maize,1485.0,2652.0
Arunachal Pradesh,EAST SIANG,1997,Kharif     ,Maize,2332.0,4196.0
Arunachal Pradesh,KURUNG KUMEY,2002,Kharif     ,Maize,1450.0,1840.0
Arunachal Pradesh,LOHIT,1997,Kharif     ,Maize,7375.0,6099.0
Arunachal Pradesh,LONGDING,2013,Kharif     ,Maize,1530.0,3506.0
Arunachal Pradesh,LOWER DIBANG VALLEY,2002,Kharif     ,Maize,5400.0,8910.0
Arunachal Pradesh,LOWER SUBANSIRI,1997,Kharif     ,Maize,3794.0,6876.0
Arunachal Pradesh,NAMSAI,2014,Whole Year ,Potato,119.0,794.0
Arunachal Pradesh,PAPUM PARE,1997,Kharif     ,Maize,1460.0,2305.0
Arunachal Pradesh,TAWANG,1997,Kharif     ,Maize,801.0,1442.0
Arunachal Pradesh,TIRAP,1997,Kharif     ,Maize,2480.0,3100.0
Arunachal Pradesh,UPPER SIANG,1997,Kharif     ,Maize,668.0,2014.0
Arunachal Pradesh,UPPER SUBANSIRI,1997,Kharif     ,Maize,796.0,1560.0
Arunachal Pradesh,WEST KAMENG,1997,Kharif     ,Maize,3651.0,5659.0
Arunachal Pradesh,WEST SIANG,1997,Kharif     ,Maize,2930.0,3840.0
Assam,BAKSA,2005,Autumn     ,Rice,17083.0,15415.0
Assam,BARPETA,1997,Autumn     ,Rice,83560.0,43512.0
Assam,BONGAIGAON,1997,Autumn     ,Rice,29514.0,14056.0
Assam,CACHAR,1997,Autumn     ,Rice,8278.0,7956.0
Assam,CHIRANG,2005,Autumn     ,Rice,10417.0,8313.0
Assam,DARRANG,1997,Autumn     ,Rice,68782.0,40252.0
Assam,DHEMAJI,1997,Autumn     ,Rice,12750.0,7036.0
Assam,DHUBRI,1997,Autumn     ,Rice,62078.0,25030.0
Assam,DIBRUGARH,1997,Autumn     ,Rice,10448.0,13674.0
Assam,DIMA HASAO,1997,Autumn     ,Rice,5984.0,5393.0
Assam,GOALPARA,1997,Autumn     ,Rice,22550.0,17189.0
Assam,GOLAGHAT,1997,Autumn     ,Rice,4427.0,3110.0
Assam,HAILAKANDI,1997,Autumn     ,Rice,6500.0,8907.0
Assam,JORHAT,1997,Autumn     ,Rice,5370.0,4670.0
Assam,KAMRUP,1997,Autumn     ,Rice,52303.0,38310.0
Assam,KAMRUP METRO,2005,Autumn     ,Rice,1121.0,1450.0
Assam,KARBI ANGLONG,1997,Autumn     ,Rice,10354.0,7833.0
Assam,KARIMGANJ,1997,Autumn     ,Rice,7332.0,8936.0
Assam,KOKRAJHAR,1997,Autumn     ,Rice,31005.0,16292.0
Assam,LAKHIMPUR,1997,Autumn     ,Rice,18325.0,11793.0
Assam,MARIGAON,1997,Autumn     ,Rice,27010.0,14050.0
Assam,NAGAON,1997,Autumn     ,Rice,57555.0,54868.0
Assam,NALBARI,1997,Autumn     ,Rice,41500.0,24528.0
Assam,SIVASAGAR,1997,Autumn     ,Rice,2512.0,2408.0
Assam,SONITPUR,1997,Autumn     ,Rice,31431.0,20768.0
Assam,TINSUKIA,1997,Autumn     ,Rice,7790.0,7740.0
Assam,UDALGURI,2005,Autumn     ,Rice,21750.0,14532.0
Bihar,ARARIA,1997,Autumn     ,Rice,17876.0,21397.0
Bihar,ARWAL,2003,Autumn     ,Rice,10.0,13.0
